Age,Gender,spotify_usage_period,spotify_listening_device,spotify_subscription_plan,premium_sub_willingness,preffered_premium_plan,preferred_listening_content,fav_music_genre,music_time_slot,music_Influencial_mood,music_lis_frequency,music_expl_method,music_recc_rating,pod_lis_frequency,fav_pod_genre,preffered_pod_format,pod_host_preference,preffered_pod_duration,pod_variety_satisfaction,churn
23,Female,More than 2 years,Smartphone,Premium Student (RM 9.50/mo),Yes,Individual Plan- Rs 119/ month,Music,Melody,Night,"Relaxation and stress relief, Sadness or melancholy, Social gatherings or parties",Daily,"Radio, Others",4,Rarely,Lifestyle and Health,Conversational,Well known individuals,Shorter,Very Satisfied,0
19,Male,More than 2 years,Smartphone,Premium Student (RM 9.50/mo),No,,Music,Melody,Afternoon,Relaxation and stress relief,Rarely,recommendations,2,Rarely,Comedy,Story telling,Both,Both,Ok,0
29,Male,More than 2 years,Smartphone,Premium Individual (RM 17.50/mo),Yes,Family Plan-Rs 179/month,Podcast,Pop,Night,Uplifting and motivational,Once a week,recommendations,3,Several times a week,Sports,Conversational,Well known individuals,Longer,Very Satisfied,0
24,Male,More than 2 years,"Smartphone, Computer or laptop",Premium Student (RM 9.50/mo),Yes,Individual Plan- Rs 119/ month,Music,Electronic/Dance,Night,Relaxation and stress relief,Daily,"recommendations, Playlists",4,Rarely,Lifestyle and Health,Educational,,,Ok,0
31,Male,More than 2 years,"Smartphone, Computer or laptop, Smart speakers or voice assistants",Premium Family (RM 27.90/mo),Yes,Individual Plan- Rs 119/ month,Music,Melody,Night,Relaxation and stress relief,Daily,"recommendations, Playlists",4,Never,,,,,Ok,0
27,Female,1 year to 2 years,Smart speakers or voice assistants,Premium Student (RM 9.50/mo),Yes,Family Plan-Rs 179/month,Podcast,Rap,Afternoon,"Sadness or melancholy, Social gatherings or parties",Daily,"Playlists, Radio",4,Once a week,Sports,Interview,Well known individuals,Shorter,Satisfied,0
14,Female,6 months to 1 year,Smart speakers or voice assistants,Premium Student (RM 9.50/mo),Yes,Duo plan- Rs 149/month,Podcast,classical,Afternoon,Uplifting and motivational,Daily,Radio,4,Once a week,Health and Fitness,Story telling,unknown Podcasters,Longer,Ok,0
12,Female,1 year to 2 years,Smart speakers or voice assistants,Premium Student (RM 9.50/mo),No,,Podcast,classical,Afternoon,Sadness or melancholy,Once a week,"Playlists, Others",3,Several times a week,Health and Fitness,Interview,unknown Podcasters,Longer,Satisfied,0
26,Female,6 months to 1 year,Smart speakers or voice assistants,Premium Student (RM 9.50/mo),Yes,Duo plan- Rs 149/month,Podcast,classical,Morning,Uplifting and motivational,Daily,"Playlists, Radio",5,Once a week,Lifestyle and Health,Interview,Well known individuals,Both,Ok,0
13,Female,1 year to 2 years,"Computer or laptop, Wearable devices",Premium Student (RM 9.50/mo),Yes,Duo plan- Rs 149/month,Podcast,classical,Afternoon,Uplifting and motivational,Daily,"Playlists, Others",4,Once a week,Health and Fitness,Story telling,unknown Podcasters,Both,Dissatisfied,0
38,Others,More than 2 years,Wearable devices,Premium Individual (RM 17.50/mo),Yes,Family Plan-Rs 179/month,Music,Electronic/Dance,Morning,Uplifting and motivational,Daily,"Playlists, Radio, Others",5,Rarely,Health and Fitness,Story telling,Both,Longer,Satisfied,0
42,Female,6 months to 1 year,Smart speakers or voice assistants,Premium Individual (RM 17.50/mo),No,,Music,Melody,Night,Social gatherings or parties,Daily,Others,4,Once a week,Health and Fitness,Educational,unknown Podcasters,Longer,Ok,0
56,Female,More than 2 years,Smartphone,Premium Individual (RM 17.50/mo),Yes,Duo plan- Rs 149/month,Music,Melody,Night,Relaxation and stress relief,Once a week,Playlists,3,Rarely,Food and cooking,Educational,Well known individuals,Shorter,Satisfied,0
23,Female,Less than 6 months,Smartphone,Premium Student (RM 9.50/mo),Yes,,Music,Melody,Night,"Relaxation and stress relief, Sadness or melancholy",Daily,"recommendations, Playlists",4,Rarely,Comedy,Conversational,Well known individuals,Shorter,Satisfied,0
28,Male,More than 2 years,Smartphone,Premium Individual (RM 17.50/mo),Yes,Individual Plan- Rs 119/ month,Music,Pop,Night,Relaxation and stress relief,Once a week,"recommendations, Radio",3,Daily,Lifestyle and Health,Educational,Well known individuals,Shorter,Very Satisfied,0
34,Female,Less than 6 months,Smartphone,Premium Duo (RM 24.50/mo),No,Duo plan- Rs 149/month,Music,Melody,Night,Relaxation and stress relief,Once a week,Playlists,3,Never,,,,,Very Dissatisfied,0
32,Female,More than 2 years,Smartphone,Premium Duo (RM 24.50/mo),Yes,Individual Plan- Rs 119/ month,Music,Pop,Night,"Relaxation and stress relief, Sadness or melancholy",Daily,"recommendations, Playlists",5,Rarely,Lifestyle and Health,Conversational,Well known individuals,Shorter,Ok,0
28,Female,More than 2 years,Smartphone,Premium Family (RM 27.90/mo),Yes,Student Plan-Rs 59/month,Music,Melody,Night,Relaxation and stress relief,Daily,recommendations,5,Rarely,Lifestyle and Health,Educational,Both,Shorter,Satisfied,0
35,Male,1 year to 2 years,"Smartphone, Computer or laptop",Premium Individual (RM 17.50/mo),Yes,Individual Plan- Rs 119/ month,Music,Melody,Afternoon,Relaxation and stress relief,Once a week,"recommendations, Playlists, Others",3,Rarely,Technology,Educational,Both,Shorter,Ok,0
19,Male,More than 2 years,"Smartphone, Computer or laptop, Smart speakers or voice assistants, Wearable devices",Premium Student (RM 9.50/mo),Yes,Family Plan-Rs 179/month,Music,Pop,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy",Once a week,"recommendations, Playlists, Others",3,Once a week,Comedy,Conversational,Both,Both,Satisfied,0
13,Female,6 months to 1 year,Computer or laptop,Premium Student (RM 9.50/mo),Yes,Duo plan- Rs 149/month,Podcast,classical,Afternoon,Sadness or melancholy,Daily,Radio,4,Once a week,Sports,Story telling,unknown Podcasters,Both,Ok,0
19,Female,6 months to 1 year,Smart speakers or voice assistants,Premium Student (RM 9.50/mo),Yes,Duo plan- Rs 149/month,Podcast,classical,Morning,Uplifting and motivational,Daily,Radio,4,Several times a week,Health and Fitness,Interview,unknown Podcasters,Longer,Satisfied,0
23,Female,6 months to 1 year,"Computer or laptop, Wearable devices",Premium Student (RM 9.50/mo),Yes,Duo plan- Rs 149/month,Podcast,Rap,Morning,Uplifting and motivational,Rarely,"Playlists, Radio, Others",1,Several times a week,Health and Fitness,Interview,unknown Podcasters,Longer,Satisfied,0
32,Female,1 year to 2 years,"Computer or laptop, Smart speakers or voice assistants",Premium Individual (RM 17.50/mo),Yes,Individual Plan- Rs 119/ month,Podcast,Pop,Afternoon,"Uplifting and motivational, Sadness or melancholy",Daily,"Playlists, Radio",5,Several times a week,Health and Fitness,Story telling,Both,Longer,Satisfied,0
32,Female,6 months to 1 year,"Smartphone, Computer or laptop, Smart speakers or voice assistants",Premium Family (RM 27.90/mo),No,Duo plan- Rs 149/month,Podcast,classical,Morning,"Uplifting and motivational, Sadness or melancholy",Daily,"Playlists, Others",4,Several times a week,Health and Fitness,Interview,unknown Podcasters,Longer,Very Satisfied,0
29,Female,1 year to 2 years,"Computer or laptop, Smart speakers or voice assistants",Premium Individual (RM 17.50/mo),No,Family Plan-Rs 179/month,Podcast,classical,Afternoon,"Uplifting and motivational, Sadness or melancholy",Once a week,"Playlists, Radio",3,Several times a week,Health and Fitness,Story telling,unknown Podcasters,Longer,Satisfied,0
35,Female,6 months to 1 year,"Computer or laptop, Smart speakers or voice assistants, Wearable devices",Premium Individual (RM 17.50/mo),Yes,Duo plan- Rs 149/month,Music,classical,Morning,"Uplifting and motivational, Sadness or melancholy, Social gatherings or parties",Daily,"recommendations, Playlists, Radio",5,Several times a week,Health and Fitness,Story telling,unknown Podcasters,Longer,Satisfied,0
18,Female,6 months to 1 year,"Smartphone, Computer or laptop",Premium Student (RM 9.50/mo),Yes,Individual Plan- Rs 119/ month,Podcast,Rap,Afternoon,"Relaxation and stress relief, Sadness or melancholy",Daily,"recommendations, Radio, Others",4,Several times a week,Health and Fitness,Story telling,Both,Longer,Ok,0
44,Female,Less than 6 months,"Smartphone, Computer or laptop",Premium Individual (RM 17.50/mo),No,Duo plan- Rs 149/month,Podcast,Pop,Morning,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy",Daily,"recommendations, Playlists, Radio",5,Once a week,Sports,Interview,unknown Podcasters,Longer,Ok,0
24,Female,1 year to 2 years,"Computer or laptop, Smart speakers or voice assistants",Premium Student (RM 9.50/mo),Yes,Duo plan- Rs 149/month,Podcast,classical,Afternoon,Sadness or melancholy,Daily,Playlists,5,Several times a week,Health and Fitness,Story telling,Both,Both,Dissatisfied,0
23,Female,6 months to 1 year,Computer or laptop,Premium Student (RM 9.50/mo),No,Family Plan-Rs 179/month,Music,classical,Night,Sadness or melancholy,Daily,Radio,5,Several times a week,Health and Fitness,Story telling,unknown Podcasters,Both,Satisfied,0
13,Female,1 year to 2 years,"Computer or laptop, Wearable devices",Premium Student (RM 9.50/mo),Yes,Duo plan- Rs 149/month,Podcast,Rap,Afternoon,"Relaxation and stress relief, Sadness or melancholy",Daily,Radio,4,Once a week,Health and Fitness,Interview,Both,Longer,Satisfied,0
39,Female,1 year to 2 years,Smart speakers or voice assistants,Premium Individual (RM 17.50/mo),Yes,Duo plan- Rs 149/month,Podcast,Rap,Afternoon,Uplifting and motivational,Daily,Others,4,Once a week,Health and Fitness,Interview,unknown Podcasters,Longer,Satisfied,0
24,Female,6 months to 1 year,Computer or laptop,Premium Student (RM 9.50/mo),Yes,Duo plan- Rs 149/month,Music,Rap,Morning,Uplifting and motivational,Daily,Radio,4,Several times a week,Lifestyle and Health,Educational,unknown Podcasters,Longer,Dissatisfied,0
22,Female,1 year to 2 years,Smart speakers or voice assistants,Premium Student (RM 9.50/mo),No,Family Plan-Rs 179/month,Music,classical,Night,Sadness or melancholy,Rarely,Others,1,Once a week,Health and Fitness,Story telling,unknown Podcasters,Both,Dissatisfied,0
33,Female,1 year to 2 years,"Computer or laptop, Smart speakers or voice assistants",Premium Individual (RM 17.50/mo),Yes,Duo plan- Rs 149/month,Podcast,classical,Afternoon,"Relaxation and stress relief, Uplifting and motivational",Once a week,recommendations,3,Once a week,Health and Fitness,Story telling,unknown Podcasters,Both,Ok,0
32,Female,1 year to 2 years,Computer or laptop,Premium Duo (RM 24.50/mo),No,Duo plan- Rs 149/month,Podcast,Rap,Afternoon,Uplifting and motivational,Daily,Radio,5,Several times a week,Health and Fitness,Interview,unknown Podcasters,Both,Ok,0
14,Female,6 months to 1 year,Computer or laptop,Premium Student (RM 9.50/mo),No,Individual Plan- Rs 119/ month,Music,classical,Afternoon,"Uplifting and motivational, Sadness or melancholy",Rarely,Radio,1,Several times a week,Lifestyle and Health,Story telling,Well known individuals,Shorter,Very Satisfied,0
31,Female,6 months to 1 year,"Computer or laptop, Smart speakers or voice assistants",Premium Individual (RM 17.50/mo),Yes,Individual Plan- Rs 119/ month,Podcast,Melody,Morning,"Uplifting and motivational, Social gatherings or parties",Once a week,"Playlists, Others",3,Several times a week,Lifestyle and Health,Story telling,unknown Podcasters,Longer,Very Satisfied,0
22,Others,1 year to 2 years,Computer or laptop,Premium Student (RM 9.50/mo),No,Family Plan-Rs 179/month,Music,classical,Afternoon,Uplifting and motivational,Daily,Radio,4,Once a week,Sports,Story telling,unknown Podcasters,Longer,Satisfied,0
28,Female,6 months to 1 year,Smart speakers or voice assistants,Premium Duo (RM 24.50/mo),No,Family Plan-Rs 179/month,Music,Melody,Afternoon,Sadness or melancholy,Rarely,Others,1,Once a week,Sports,Conversational,Both,Longer,Ok,0
26,Female,1 year to 2 years,Smart speakers or voice assistants,Premium Student (RM 9.50/mo),Yes,Family Plan-Rs 179/month,Podcast,Melody,Afternoon,Sadness or melancholy,Daily,Others,5,Once a week,Health and Fitness,Story telling,unknown Podcasters,Longer,Satisfied,0
19,Female,6 months to 1 year,Computer or laptop,Premium Student (RM 9.50/mo),Yes,Duo plan- Rs 149/month,Podcast,classical,Morning,Sadness or melancholy,Once a week,Playlists,3,Once a week,Sports,Interview,Both,Longer,Ok,0
25,Female,Less than 6 months,Smartphone,Premium Family (RM 27.90/mo),Yes,Individual Plan- Rs 119/ month,Music,Melody,Afternoon,Relaxation and stress relief,Rarely,"recommendations, Playlists, Radio",2,Rarely,Comedy,Story telling,Both,Shorter,Ok,0
24,Female,1 year to 2 years,"Smartphone, Computer or laptop, Smart speakers or voice assistants, Wearable devices",Premium Student (RM 9.50/mo),Yes,Student Plan-Rs 59/month,Music,Melody,Night,"Relaxation and stress relief, Sadness or melancholy, Social gatherings or parties",Daily,"recommendations, Playlists, Radio",4,Rarely,Comedy,Story telling,Both,Both,Ok,0
34,Female,More than 2 years,Smartphone,Premium Family (RM 27.90/mo),Yes,Individual Plan- Rs 119/ month,Music,Pop,Night,"Relaxation and stress relief, Uplifting and motivational",Once a week,Radio,3,Rarely,Lifestyle and Health,Conversational,Both,Both,Ok,0
29,Female,1 year to 2 years,Smartphone,Premium Student (RM 9.50/mo),Yes,Individual Plan- Rs 119/ month,Music,Melody,Night,Sadness or melancholy,Rarely,recommendations,1,Never,,Conversational,Well known individuals,Shorter,Satisfied,0
32,Female,More than 2 years,Smartphone,Premium Duo (RM 24.50/mo),Yes,Individual Plan- Rs 119/ month,Music,Pop,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties",Rarely,Playlists,2,Rarely,Lifestyle and Health,Conversational,Both,Shorter,Ok,0
30,Female,More than 2 years,Smartphone,Premium Individual (RM 17.50/mo),Yes,Individual Plan- Rs 119/ month,Music,Melody,Night,Relaxation and stress relief,Once a week,Others,3,Rarely,Lifestyle and Health,Story telling,unknown Podcasters,Shorter,Ok,0
22,Female,More than 2 years,Smartphone,Premium Student (RM 9.50/mo),Yes,Individual Plan- Rs 119/ month,Music,Rap,Night,Social gatherings or parties,Once a week,recommendations,3,Rarely,,,,,Ok,0
21,Male,More than 2 years,"Smartphone, Computer or laptop, Smart speakers or voice assistants",Premium Student (RM 9.50/mo),Yes,Individual Plan- Rs 119/ month,Music,Pop,Night,"Relaxation and stress relief, Uplifting and motivational, Social gatherings or parties",Daily,"recommendations, Playlists, Radio, Others",4,Rarely,Comedy,Story telling,Both,Shorter,Satisfied,0
21,Male,1 year to 2 years,Smartphone,Premium Student (RM 9.50/mo),Yes,Student Plan-Rs 59/month,Podcast,Melody,Night,Relaxation and stress relief,Once a week,"recommendations, Playlists, Others",3,Several times a week,Lifestyle and Health,Conversational,Both,Both,Very Satisfied,0
29,Female,1 year to 2 years,Smartphone,Premium Individual (RM 17.50/mo),Yes,Individual Plan- Rs 119/ month,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Social gatherings or parties",Daily,recommendations,4,Rarely,Lifestyle and Health,Story telling,Well known individuals,Both,Ok,0
24,Female,More than 2 years,Smartphone,Premium Student (RM 9.50/mo),Yes,Individual Plan- Rs 119/ month,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy",Daily,"recommendations, Playlists, Others",4,Rarely,Lifestyle and Health,Educational,Both,Shorter,Ok,0
29,Male,1 year to 2 years,Smartphone,Premium Duo (RM 24.50/mo),Yes,Student Plan-Rs 59/month,Music,Rock,Morning,"Relaxation and stress relief, Uplifting and motivational",Once a week,Playlists,3,Never,,,Well known individuals,Shorter,Dissatisfied,0
34,Female,1 year to 2 years,"Smartphone, Computer or laptop",Premium Individual (RM 17.50/mo),Yes,Individual Plan- Rs 119/ month,Music,Pop,Night,"Relaxation and stress relief, Sadness or melancholy",Daily,recommendations,5,Rarely,Lifestyle and Health,Story telling,Both,Both,Satisfied,0
15,Female,1 year to 2 years,Computer or laptop,Premium Student (RM 9.50/mo),No,Individual Plan- Rs 119/ month,Music,classical,Morning,Relaxation and stress relief,Rarely,Playlists,1,Once a week,Health and Fitness,Interview,Well known individuals,Both,Ok,0
20,Female,6 months to 1 year,Smart speakers or voice assistants,Premium Student (RM 9.50/mo),Yes,Individual Plan- Rs 119/ month,Podcast,Rap,Afternoon,Sadness or melancholy,Daily,Playlists,5,Several times a week,Comedy,Educational,Both,Longer,Satisfied,0
13,Female,6 months to 1 year,Computer or laptop,Premium Student (RM 9.50/mo),No,Duo plan- Rs 149/month,Music,Rap,Afternoon,Sadness or melancholy,Daily,Radio,5,Several times a week,Sports,Conversational,unknown Podcasters,Longer,Satisfied,0
29,Female,1 year to 2 years,Smart speakers or voice assistants,Premium Individual (RM 17.50/mo),Yes,Individual Plan- Rs 119/ month,Podcast,Rap,Afternoon,Sadness or melancholy,Daily,Radio,4,Once a week,Health and Fitness,Interview,Both,Longer,Very Satisfied,0
32,Others,6 months to 1 year,Smart speakers or voice assistants,Premium Individual (RM 17.50/mo),Yes,Individual Plan- Rs 119/ month,Music,Rap,Night,Uplifting and motivational,Daily,Playlists,5,Rarely,Lifestyle and Health,Story telling,Both,Longer,Very Satisfied,0
32,Female,1 year to 2 years,Wearable devices,Premium Individual (RM 17.50/mo),Yes,Individual Plan- Rs 119/ month,Music,Electronic/Dance,Afternoon,Sadness or melancholy,Daily,Radio,4,Rarely,Sports,Conversational,Both,Both,Satisfied,0
13,Female,6 months to 1 year,Smart speakers or voice assistants,Premium Student (RM 9.50/mo),Yes,Individual Plan- Rs 119/ month,Podcast,Rap,Afternoon,Sadness or melancholy,Daily,Radio,4,Rarely,Sports,Story telling,unknown Podcasters,Both,Satisfied,0
58,Female,6 months to 1 year,Computer or laptop,Premium Individual (RM 17.50/mo),No,Family Plan-Rs 179/month,Podcast,Melody,Morning,Uplifting and motivational,Rarely,Radio,1,Rarely,Lifestyle and Health,Interview,Well known individuals,Both,Ok,0
28,Female,Less than 6 months,Computer or laptop,Premium Individual (RM 17.50/mo),No,Duo plan- Rs 149/month,Music,classical,Afternoon,Uplifting and motivational,Rarely,Others,1,Once a week,Sports,,unknown Podcasters,Both,Ok,0
35,Male,6 months to 1 year,Computer or laptop,Premium Family (RM 27.90/mo),No,Family Plan-Rs 179/month,Podcast,classical,Afternoon,Uplifting and motivational,Daily,Radio,5,Rarely,Health and Fitness,Story telling,unknown Podcasters,Both,Ok,0
17,Female,1 year to 2 years,"Computer or laptop, Smart speakers or voice assistants",Premium Student (RM 9.50/mo),No,Duo plan- Rs 149/month,Music,Rap,Afternoon,"Uplifting and motivational, Social gatherings or parties",Daily,"Playlists, Radio, Others",5,Several times a week,Health and Fitness,Story telling,unknown Podcasters,Longer,Ok,0
13,Female,1 year to 2 years,"Computer or laptop, Smart speakers or voice assistants",Premium Student (RM 9.50/mo),Yes,Family Plan-Rs 179/month,Podcast,Melody,Night,Sadness or melancholy,Daily,Radio,4,Once a week,Comedy,Interview,unknown Podcasters,Both,Ok,0
33,Female,1 year to 2 years,Smartphone,Premium Individual (RM 17.50/mo),Yes,Family Plan-Rs 179/month,Music,Melody,Afternoon,Sadness or melancholy,Daily,Others,4,Rarely,Sports,Story telling,Both,Both,Ok,0
28,Others,1 year to 2 years,Computer or laptop,Premium Individual (RM 17.50/mo),No,Duo plan- Rs 149/month,Podcast,classical,Afternoon,Uplifting and motivational,Daily,Playlists,5,Rarely,Sports,Story telling,unknown Podcasters,Both,Ok,0
29,Male,1 year to 2 years,Smart speakers or voice assistants,Premium Individual (RM 17.50/mo),Yes,Student Plan-Rs 59/month,Podcast,Rap,Afternoon,Sadness or melancholy,Rarely,Radio,1,Rarely,Sports,Conversational,Both,Both,Satisfied,0
24,Female,6 months to 1 year,Smartphone,Premium Student (RM 9.50/mo),Yes,Duo plan- Rs 149/month,Podcast,Rap,Afternoon,Uplifting and motivational,Rarely,"recommendations, Playlists, Others",2,Several times a week,Sports,Story telling,Both,Longer,Satisfied,0
18,Female,6 months to 1 year,Computer or laptop,Premium Student (RM 9.50/mo),No,,Music,Pop,Afternoon,Sadness or melancholy,Daily,Others,4,Rarely,Health and Fitness,Interview,unknown Podcasters,Both,Ok,0
20,Male,More than 2 years,Smart speakers or voice assistants,Premium Student (RM 9.50/mo),Yes,Student Plan-Rs 59/month,Podcast,classical,Afternoon,Relaxation and stress relief,Daily,Playlists,4,Several times a week,Health and Fitness,Story telling,Well known individuals,Longer,Very Satisfied,0
24,Male,Less than 6 months,Smart speakers or voice assistants,Premium Student (RM 9.50/mo),Yes,Duo plan- Rs 149/month,Music,classical,Morning,Uplifting and motivational,Once a week,Playlists,3,Rarely,Lifestyle and Health,Interview,unknown Podcasters,Both,Satisfied,0
15,Female,6 months to 1 year,Wearable devices,Premium Student (RM 9.50/mo),Yes,Duo plan- Rs 149/month,Podcast,Rap,Morning,Relaxation and stress relief,Daily,Playlists,4,Rarely,Sports,,Well known individuals,Both,Ok,0
35,Male,More than 2 years,Smartphone,Premium Family (RM 27.90/mo),Yes,Individual Plan- Rs 119/ month,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties",Daily,"recommendations, Playlists",5,Rarely,Comedy,Story telling,Both,Longer,Satisfied,0
35,Female,6 months to 1 year,Smartphone,Premium Individual (RM 17.50/mo),Yes,Individual Plan- Rs 119/ month,Music,Melody,Night,"Relaxation and stress relief, Uplifting and motivational",Daily,"recommendations, Others",5,Several times a week,Comedy,Conversational,Both,Longer,Satisfied,0
34,Female,More than 2 years,"Smartphone, Computer or laptop",Premium Individual (RM 17.50/mo),Yes,Student Plan-Rs 59/month,Music,Pop,Night,"Relaxation and stress relief, Sadness or melancholy",Rarely,"Playlists, Radio",2,Never,,,,,Ok,0
